	OverallCond	RoofMatl	Exterior1st	Exterior2nd	MasVnrType	ExterQual	ExterCond	Heating	HeatingQC	CentralAir	Electrical	KitchenQual	Functional	Fireplaces	GarageQual	GarageCond	Utilities	SalePrice
24	8	CompShg	Plywood	Plywood	None	3	2	GasA	0	1	SBrkr	2	6	1	4	4	0	154000
25	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	256300
26	7	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	SBrkr	2	6	0	4	4	0	134800
27	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	306000
28	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	6	2	4	4	0	207500
29	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	1	0	SBrkr	1	6	0	1	4	0	68500
31	6	CompShg	HdBoard	HdBoard	None	3	4	GasA	2	1	SBrkr	2	6	0	4	4	0	149350
32	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	179900
33	5	CompShg	BrkFace	BrkFace	None	3	4	GasA	2	1	SBrkr	2	6	1	4	4	0	165500
34	5	CompShg	MetalSd	MetalSd	BrkFace	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	277500
35	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	309000
36	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	145000
37	6	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	153000
38	7	CompShg	VinylSd	VinylSd	None	3	2	GasA	4	1	SBrkr	2	6	0	4	4	0	109000
39	5	CompShg	AsbShng	Plywood	None	3	4	GasA	4	0	FuseP	1	6	0	5	5	0	82000
40	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	160000
41	6	CompShg	VinylSd	VinylSd	None	3	2	GasA	2	1	SBrkr	3	6	2	4	4	0	170000
42	7	CompShg	HdBoard	HdBoard	None	3	4	GasA	2	1	SBrkr	2	6	0	4	2	0	144000
43	6	CompShg	VinylSd	VinylSd	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	130250
44	6	CompShg	BrkFace	Wd Sdng	None	3	4	GasA	0	1	FuseA	3	6	0	4	4	0	141000
45	5	CompShg	MetalSd	MetalSd	BrkFace	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	319900
46	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	239686
47	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	249700
48	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	SBrkr	3	6	0	5	5	0	113000
49	7	CompShg	HdBoard	HdBoard	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	127000
50	6	CompShg	VinylSd	VinylSd	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	177000
51	6	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	114500
52	5	CompShg	Wd Sdng	Wd Sdng	None	1	4	GasA	4	0	SBrkr	3	6	0	4	4	0	110000
53	5	WdShngl	WdShing	Wd Shng	None	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	385000
54	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	2	1	4	4	0	130000
55	5	CompShg	HdBoard	Plywood	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	180500
56	5	CompShg	MetalSd	MetalSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	172500
57	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	196500
58	5	CompShg	VinylSd	VinylSd	BrkFace	0	4	GasA	0	1	SBrkr	2	6	1	4	4	0	438780
59	7	CompShg	HdBoard	HdBoard	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	124900
60	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	2	6	0	4	4	0	158000
61	7	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	0	SBrkr	1	6	0	4	4	0	101000
62	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	202500
63	6	CompShg	Stucco	Stucco	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	140000
64	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	0	1	SBrkr	2	6	0	4	4	0	219500
65	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	317000
66	5	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	4	1	SBrkr	3	2	1	4	4	0	180000
67	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	226000
68	6	CompShg	MetalSd	MetalSd	None	3	2	GasA	4	1	SBrkr	3	6	0	4	4	0	80000
69	4	CompShg	BrkFace	AsbShng	None	2	4	GasW	4	1	SBrkr	3	6	1	4	4	0	225000
70	6	CompShg	Plywood	Plywood	BrkFace	3	2	GasA	0	1	SBrkr	3	6	2	4	4	0	244000
71	6	CompShg	HdBoard	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	129500
72	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	185000
73	7	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	144900
74	6	CompShg	VinylSd	VinylSd	None	2	2	GasA	2	0	SBrkr	3	6	0	4	4	0	107400
75	5	CompShg	CemntBd	CmentBd	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	91000
76	7	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	FuseA	3	6	0	4	4	0	135750
77	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	SBrkr	3	2	0	4	4	0	127000
78	5	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	0	SBrkr	3	6	0	5	5	0	136500
79	6	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	110000
80	6	CompShg	VinylSd	VinylSd	BrkFace	3	2	GasA	4	1	SBrkr	2	6	1	4	4	0	193500
81	5	CompShg	VinylSd	VinylSd	BrkFace	3	2	GasA	0	1	SBrkr	3	6	0	4	4	0	153500
82	5	CompShg	VinylSd	VinylSd	Stone	3	4	GasA	0	1	SBrkr	2	6	1	4	4	0	245000
83	5	CompShg	MetalSd	MetalSd	BrkCmn	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	126500
84	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	168500
85	5	CompShg	HdBoard	HdBoard	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	260000
86	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	174000
87	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	164500
89	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	0	5	5	0	123600
90	5	CompShg	BrkFace	Wd Sdng	None	3	4	GasA	4	1	FuseA	3	6	0	4	4	0	109900
91	3	CompShg	HdBoard	HdBoard	BrkCmn	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	98600
92	7	CompShg	Wd Sdng	Wd Sdng	None	3	2	GasA	0	1	SBrkr	3	6	0	4	4	0	163500
94	5	CompShg	VinylSd	VinylSd	None	3	2	GasA	0	1	SBrkr	2	6	0	4	4	0	204750
95	8	CompShg	VinylSd	VinylSd	BrkFace	0	2	GasA	2	1	SBrkr	3	6	1	4	4	0	185000
96	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	214000
97	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	FuseF	3	6	0	4	4	0	94750
98	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	1	0	SBrkr	3	6	0	1	4	0	83000
99	5	CompShg	Plywood	Plywood	None	3	4	GasA	1	1	SBrkr	3	6	0	5	5	0	128950
100	7	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	2	1	SBrkr	2	6	2	4	4	0	205000
101	5	CompShg	HdBoard	HdBoard	BrkFace	2	4	GasA	4	1	SBrkr	2	6	1	4	4	0	178000
102	5	CompShg	HdBoard	HdBoard	None	3	1	GasA	4	1	SBrkr	3	6	0	4	4	0	118964
103	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	2	6	0	4	4	0	198900
104	4	CompShg	Stucco	Stucco	BrkFace	3	1	GasA	0	1	FuseF	3	6	2	4	4	0	169500
105	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	250000
106	7	CompShg	VinylSd	VinylSd	None	3	4	GasA	2	1	SBrkr	3	6	0	1	1	0	100000
107	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	115000
108	7	CompShg	CemntBd	CmentBd	None	3	4	GasW	4	0	FuseF	1	6	0	5	5	0	115000
109	6	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	190000
110	4	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	136900
111	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	180000
112	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	383970
113	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	2	GasA	4	1	SBrkr	2	6	2	4	4	0	217000
114	8	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	SBrkr	2	6	1	4	4	0	259500
115	5	CompShg	MetalSd	MetalSd	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	176000
116	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	139000
117	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	155000
118	5	CompShg	Plywood	Plywood	None	3	4	GasA	2	1	SBrkr	2	6	2	4	4	0	320000
119	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	163990
120	5	Metal	Plywood	Plywood	None	3	4	GasA	0	1	SBrkr	3	6	2	4	4	0	180000
121	5	CompShg	AsbShng	AsbShng	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	100000
122	7	CompShg	MetalSd	MetalSd	BrkFace	3	2	GasA	2	1	SBrkr	3	6	0	4	4	0	136000
123	5	CompShg	Plywood	Plywood	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	153900
124	5	CompShg	HdBoard	HdBoard	None	3	2	GasA	4	1	SBrkr	3	6	1	4	4	0	181000
125	8	CompShg	Wd Sdng	Wd Sdng	None	3	1	GasA	2	0	SBrkr	3	6	0	5	5	0	84500
126	5	CompShg	Plywood	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	128000
127	7	CompShg	WdShing	Wd Sdng	None	3	2	GasA	0	1	SBrkr	3	6	1	5	5	0	87000
128	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	155000
129	7	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	4	1	FuseA	0	6	0	4	4	0	150000
130	6	CompShg	MetalSd	MetalSd	BrkFace	3	4	GasA	0	1	SBrkr	2	6	2	4	4	0	226000
131	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	244000
132	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	SBrkr	2	6	0	4	4	0	150750
133	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	220000
134	6	CompShg	Plywood	Plywood	None	3	4	GasA	2	1	SBrkr	3	2	1	4	4	0	180000
135	6	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	174000
136	5	CompShg	MetalSd	MetalSd	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	143000
137	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	171000
138	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	2	4	4	0	230000
139	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	2	6	0	4	4	0	231500
140	5	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	3	6	1	5	5	0	115000
141	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	260000
142	4	CompShg	BrkFace	Wd Sdng	None	3	1	GasA	1	1	SBrkr	3	6	0	4	4	0	166000
143	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	204000
144	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	125000
145	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	0	0	4	4	0	130000
146	7	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	FuseA	3	6	0	1	4	0	105000
147	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	222500
148	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	0	1	SBrkr	2	6	0	5	5	0	141000
149	4	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	FuseA	3	6	0	1	4	0	115000
150	6	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	122000
151	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	372402
152	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	190000
153	7	CompShg	BrkFace	Plywood	None	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	235000
154	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	FuseA	3	6	0	1	1	0	125000
155	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	Grav	1	0	FuseF	3	6	0	5	5	0	79000
156	7	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	FuseF	3	6	0	4	4	0	109500
157	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	269500
158	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	254900
159	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	320000
160	6	CompShg	Plywood	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	162500
161	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	0	6	2	4	4	0	412500
162	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	220000
163	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	0	1	SBrkr	3	6	0	5	5	0	103200
164	7	CompShg	MetalSd	MetalSd	None	3	2	GasA	2	1	FuseA	2	6	0	4	4	0	152000
165	7	CompShg	Wd Sdng	Wd Sdng	None	3	2	GasA	2	1	SBrkr	3	6	0	5	5	0	127500
166	5	CompShg	Wd Sdng	Wd Sdng	None	2	4	GasA	0	1	FuseA	3	6	3	4	4	0	190000
167	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	325624
168	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	183500
169	6	WdShake	Plywood	Plywood	BrkFace	2	4	GasA	4	1	SBrkr	3	6	1	4	4	0	228000
170	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	128500
171	5	CompShg	BrkFace	Plywood	Stone	3	4	GasA	1	1	SBrkr	3	6	2	4	4	0	215000
172	7	CompShg	HdBoard	HdBoard	None	2	2	GasA	2	1	SBrkr	2	6	1	2	4	0	239000
173	5	CompShg	WdShing	Wd Shng	BrkCmn	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	163000
174	5	CompShg	VinylSd	Plywood	Stone	3	4	GasA	4	1	SBrkr	3	3	1	4	4	0	184000
175	7	CompShg	WdShing	Wd Shng	None	3	4	GasA	4	1	SBrkr	2	6	1	4	4	0	243000
176	5	CompShg	Plywood	Plywood	BrkFace	2	4	GasA	4	1	SBrkr	3	6	1	4	4	0	211000
177	5	CompShg	MetalSd	MetalSd	None	2	2	GasA	0	1	SBrkr	2	6	1	4	4	0	172500
178	5	CompShg	VinylSd	VinylSd	Stone	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	501837
179	6	CompShg	Wd Sdng	Wd Sdng	None	2	4	GasA	4	1	SBrkr	3	6	0	1	4	0	100000
180	5	CompShg	MetalSd	MetalSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	177000
181	6	CompShg	Stucco	Stucco	None	3	4	GasA	2	1	SBrkr	3	6	1	1	4	0	200100
182	6	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	120000
183	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	2	4	0	4	4	0	200000
184	8	CompShg	AsbShng	Plywood	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	127000
185	9	WdShngl	Wd Sdng	Wd Sdng	None	2	2	GasA	0	1	SBrkr	0	6	2	0	4	0	475000
186	5	CompShg	HdBoard	HdBoard	None	3	4	GasA	0	1	SBrkr	2	6	0	4	4	0	173000
187	7	CompShg	HdBoard	HdBoard	None	3	4	GasA	0	1	SBrkr	3	3	0	1	1	0	135000
188	5	CompShg	Plywood	Plywood	Stone	3	4	GasA	4	1	SBrkr	3	6	2	4	4	0	153337
189	5	CompShg	CemntBd	CmentBd	None	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	286000
190	8	CompShg	BrkFace	BrkFace	None	2	4	GasA	4	1	SBrkr	2	0	2	4	4	0	315000
191	9	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	2	1	SBrkr	2	6	0	4	4	0	184000
192	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	192000
193	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	0	0	4	4	0	130000
194	7	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	127000
195	6	CompShg	Plywood	Brk Cmn	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	148500
196	5	CompShg	CemntBd	CmentBd	Stone	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	311872
197	4	CompShg	Stucco	Stucco	None	2	2	GasA	2	1	SBrkr	2	6	1	4	4	0	235000
198	6	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	SBrkr	3	6	0	5	5	0	104000
199	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	274900
200	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	140000
201	6	CompShg	Plywood	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	2	4	4	0	171500
202	6	CompShg	MetalSd	MetalSd	None	3	2	GasA	2	1	SBrkr	3	2	0	4	4	0	112000
203	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	149000
204	7	CompShg	AsbShng	AsbShng	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	110000
205	5	CompShg	HdBoard	HdBoard	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	180500
206	5	CompShg	HdBoard	HdBoard	None	3	2	GasA	4	1	SBrkr	3	3	1	4	4	0	143900
207	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	141000
208	5	CompShg	Plywood	Plywood	BrkFace	2	4	GasA	0	1	SBrkr	3	6	1	4	4	0	277000
209	7	CompShg	HdBoard	HdBoard	Stone	3	4	GasA	0	1	SBrkr	3	6	0	4	2	0	145000
210	6	CompShg	Stucco	Stucco	None	3	4	GasA	4	0	FuseA	3	6	0	5	5	0	98000
211	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	2	6	0	4	4	0	186000
212	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	2	6	1	4	4	0	252678
213	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	156000
214	7	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	161750
215	6	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	2	2	1	4	4	0	134450
216	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	210000
217	4	CompShg	MetalSd	MetalSd	None	3	4	GasA	1	0	SBrkr	3	6	0	4	4	0	107000
218	9	CompShg	VinylSd	VinylSd	BrkFace	2	2	GasA	0	1	SBrkr	2	6	2	4	4	0	311500
219	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	167240
220	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	204900
221	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	200000
222	6	CompShg	VinylSd	VinylSd	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	179900
223	6	CompShg	HdBoard	HdBoard	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	97000
224	5	CompShg	VinylSd	VinylSd	BrkFace	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	386250
225	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	112000
226	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	290000
227	6	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	106000
228	5	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	125000
229	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	192500
230	6	CompShg	MetalSd	MetalSd	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	148000
231	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	403000
232	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	94500
233	6	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	128200
234	5	CompShg	VinylSd	VinylSd	Zero	2	4	GasA	0	1	SBrkr	2	6	2	4	4	0	216500
235	3	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	89500
236	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	185500
237	7	CompShg	HdBoard	HdBoard	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	194500
238	5	CompShg	VinylSd	VinylSd	BrkFace	0	4	GasA	0	1	SBrkr	2	6	0	4	4	0	318000
239	4	CompShg	VinylSd	VinylSd	None	3	4	GasA	4	1	FuseA	3	6	1	4	4	0	113000
240	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	262500
